,nan,nan,"4,1k"
"ДИТ Москвы, коронобесие, большие данные: преступление и наказание",nan,nan,"9,8k"
"Как рекламщики уничтожили электронную почту, и что сейчас они делают с мобильной связью",nan,nan,"10,1k"
О дивный новый «Мир»! Восстановление советской радиолы. Часть 2,nan,nan,"1,9k"
Обман обманщиков: форк-бомба нового уровня,nan,nan,"97,4k"
      ,&plus;116,nan,"4,3k"
Изобретение инфляции: как Джон Ло разорил Францию,&plus;46,72,"97,4k"
Минуточку внимания,&plus;69,24,"22,5k"
Заказы,&plus;45,51,"17,1k"
Когда маркетологи заигрались и потеряли человека,&plus;58,15,"14,2k"
HTTPWTF. Необычное в обычном протоколе,&plus;116,680,127k
"Если вы не чистите зубы, то я их вам почищу: FAQ про гигиену",&plus;42,72,"97,4k"
Большой тест батареек CR2032,&plus;32,104,"62,7k"
      Средняя зарплата в IT,&plus;47,304,"60,8k"
Тихая революция и новый дикий запад в ComputerVision,&plus;268,142,215k
"Можно ли быть немножко беременным, или Российское проклятье Open Source",&plus;58,105,183k
Ответ HR-девицам,&plus;68,680,127k
Самое читаемоеМинуточку внимания,nan,194,126k
,nan,nan,"4,1k"
"Как я сделал девайс для Korn, Limp Bizkit, Drowning Pool и других рокеров, собрав все продуктовые ошибки",nan,nan,"9,8k"
Как 17 обезьян спасли тысячи людей,nan,nan,"10,1k"
Программирование — это скучная магия,nan,nan,"1,9k"
Ретрожелезо в фильме «Брат»,nan,nan,"97,4k"
      ,&plus;116,nan,"4,3k"
Полезные консольные Linux утилиты,&plus;46,72,"97,4k"
Скрытые мобильные подписки на хостинге Мегафона,&plus;69,24,"22,5k"
Сравнение коннекторов USB-C за 5 и 20 центов,&plus;45,51,"17,1k"
Минуточку внимания,&plus;58,15,"14,2k"
50 оттенков жёлтого. Часть 2,&plus;116,680,127k
Однобитный компьютер,&plus;42,72,"97,4k"
Собеседование в Яндекс: театр абсурда :/,&plus;32,104,"62,7k"
Веб на заре Рунета. Как создавали и где хостили сайты в 90-е,&plus;47,304,"60,8k"
"Что делать, если украли смартфон",&plus;268,142,215k
"Уважаемые рекрутеры, а вы не офигели?",&plus;58,105,183k
Самое читаемоеМинуточку внимания,&plus;68,680,127k
Уникальный даже в мировой практике — советский проигрыватель Высшего класса «Корвет» 1978 года,nan,194,126k
,nan,nan,"4,1k"
Почему в iPhone до сих пор стоят 12 Мп камеры?,nan,nan,"9,8k"
Как мы с братом алмаз делали,nan,nan,"10,1k"
"Один бинарник, любое окружение. Магия чистого C",nan,nan,"1,9k"
Защищали ли кольчуги рыцарей?,nan,nan,"97,4k"
      ,&plus;116,nan,"4,3k"
Изнанка войны. Средневековые (и не только) ранения,&plus;46,72,"97,4k"
Минуточку внимания,&plus;69,24,"22,5k"
Билет без некоторых русских букв,&plus;45,51,"17,1k"
Заказы,&plus;58,15,"14,2k"
"«Вам здесь больше не рады...» Или что делать, если вы думаете, что работаете здесь, а начальник думает, что уже нет",&plus;116,680,127k
Как я нашел в публичном доступе исходники нескольких сервисов ФНС,&plus;42,72,"97,4k"
Зеркала в Duke Nukem 3D,&plus;32,104,"62,7k"
      Средняя зарплата в IT,&plus;47,304,"60,8k"
"Мы Опубликовали Качественный, Простой, Доступный и Быстрый Синтез Речи",&plus;268,142,215k
Самое читаемоеМинуточку внимания,&plus;58,105,183k
Возврат предустановленной Windows: Lenovo должна выплатить 20 000 евро в качестве компенсации ущерба,&plus;68,680,127k
Отменим ли мы Web?,nan,194,126k
,nan,nan,"4,1k"
"Приходит ПМ и говорит, что надо на завтра чай через 3 минуты",nan,nan,"9,8k"
Как я сократил время загрузки GTA Online на 70%,nan,nan,"10,1k"
      ,nan,nan,"1,9k"
Минуточку внимания,nan,nan,"97,4k"
10 лет аварии на АЭС Фукусима. Последствия и итоги,&plus;116,nan,"4,3k"
Заказы,&plus;46,72,"97,4k"
Самодельный спектрометр с высоким разрешением,&plus;69,24,"22,5k"
"О фейковых криптовалютах (Ethereum, Tron, Ripple и пр)",&plus;45,51,"17,1k"
Киев-Стокгольм-Харьков-Ивано-Франковск — моя история,&plus;58,15,"14,2k"
Самое читаемоеМинуточку внимания,&plus;116,680,127k
Никогда такого не было и вот опять. Почему нужно использовать self-hosted VPN. Релиз Amnezia,&plus;42,72,"97,4k"
История одного собеседования,&plus;32,104,"62,7k"
Как и зачем мы внесли 22 тысячи изменений в дизайн Яндекс.Карт,&plus;47,304,"60,8k"
Ученые получили первый снимок кристалла времени,&plus;268,142,215k
"Не блокировка, а замедление",&plus;58,105,183k
Коронавирус нерукотворный: разбираем гипотезу о лабораторном происхождении SARS-CoV-2,&plus;68,680,127k
"Плохие интерфейсы, или как я ходила на башню Федерация",nan,194,126k
,nan,nan,"4,1k"
Графика в терминале,nan,nan,"9,8k"
Установка Linux на калькулятор. Часть I,nan,nan,"10,1k"
"Как выжить, если вы падаете со скоростью 190 км/ч с высоты 10 000 метров, и у вас в запасе есть три минуты",nan,nan,"1,9k"
Почему Windows около 20 секунд упорядочивает невидимые значки Рабочего стола?,nan,nan,"97,4k"
Как мы раскрыли 24-летний баг в ядре Linux,&plus;116,nan,"4,3k"
Серебряная пуля для кремлевского демона,&plus;46,72,"97,4k"
      ,&plus;69,24,"22,5k"
Как превратиться в суперзвезду Zoom-звонков за 15 минут,&plus;45,51,"17,1k"
Минуточку внимания,&plus;58,15,"14,2k"
"6:59:00, высота 10 000 м",&plus;116,680,127k
      Средняя зарплата в IT,&plus;42,72,"97,4k"
Лайфхак: как спарсить гигабайт double-ов в секунду,&plus;32,104,"62,7k"
Как разработчики бегут из Сан-Франциско,&plus;47,304,"60,8k"
Как не спалить закладку полиции?,&plus;268,142,215k
Самое читаемоеМинуточку внимания,&plus;58,105,183k
Обратная сторона Open Source-славы: как угрожают автору curl,&plus;68,680,127k
  ,nan,194,126k
,nan,nan,"4,1k"
Как мы просто сократили объем входящего в дата-центр трафика на 70%,nan,nan,"9,8k"
